project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status,commits_count,comments_count,labels
spark,21403,comment,400979913,non_debt,-,apache,76.0,Closed,21,30,
pulsar,5829,description,0,non_debt,-,apache,4.0,Merged,2,4,
spark,9765,comment,165553194,non_debt,-,apache,30.0,Closed,7,6,
tvm,3642,comment,531385242,non_debt,-,apache,91.0,Closed,1,19,status: need update
attic-apex-core,361,summary,0,non_debt,-,apache,78.0,Closed,1,4,
druid,1265,review,27927153,code_debt,low_quality_code,apache,7.0,Merged,10,30,
kafka,9998,review,569278561,code_debt,complex_code,apache,5.0,Merged,7,16,kraft
bigtop,577,description,0,non_debt,-,apache,161.0,Merged,3,10,
spark,3564,comment,71155467,non_debt,-,apache,183.0,Closed,1,2,
iceberg,1893,review,546487254,non_debt,-,apache,40.0,Merged,11,30,"API, spark, flink"
trafficserver,1703,summary,0,non_debt,-,apache,0.0,Merged,1,0,"Plugins, Cleanup"
flink,5863,review,190145819,non_debt,-,apache,202.0,Closed,3,10,"component=Tests, component=CommandLineClient"
storm,1108,review,53563947,non_debt,-,apache,30.0,Merged,8,27,
madlib,243,description,0,code_debt,low_quality_code,apache,6.0,Closed,2,30,
arrow,8325,review,499664483,non_debt,-,apache,7.0,Closed,9,30,
superset,12147,comment,748477405,non_debt,-,apache,22.0,Closed,4,2,"size/S, !deprecated-label:org:preset"
kafka,658,comment,163534193,non_debt,-,apache,27.0,Closed,1,0,
drill,480,comment,210564893,non_debt,-,apache,1187.0,Closed,2,9,
kafka,3765,review,144588126,code_debt,low_quality_code,apache,48.0,Closed,1,30,
zeppelin,3432,review,317863384,non_debt,-,apache,24.0,Closed,9,11,
spark,22642,comment,427431611,non_debt,-,apache,0.0,Closed,1,3,
zeppelin,1187,comment,232949145,non_debt,-,apache,663.0,Closed,4,11,
hadoop,1220,comment,518669750,non_debt,-,apache,3.0,Merged,1,0,
flink,1591,description,0,non_debt,-,apache,2.0,Closed,1,5,component=LegacyComponents/StormCompatibility
incubator-mxnet,16977,review,361060594,non_debt,-,apache,20.0,Closed,9,8,Numpy
flink,2060,comment,225739626,non_debt,-,apache,190.0,Closed,8,7,component=<none>
arrow,8542,review,521379723,non_debt,-,apache,20.0,Closed,0,30,
camel-quarkus,280,description,0,non_debt,-,apache,0.0,Merged,1,1,
incubator-pinot,304,review,71789211,non_debt,-,apache,0.0,Merged,4,23,
spark,15580,review,84442086,non_debt,-,apache,0.0,Closed,3,7,
lucene-solr,133,summary,0,design_debt,non-optimal_design,apache,,Not Closed or Merged,1,0,
openwhisk,4756,review,371010485,non_debt,-,apache,105.0,Merged,11,24,review
spark,24851,review,307285458,non_debt,-,apache,188.0,Closed,30,30,GRAPH
shardingsphere,1573,description,0,non_debt,-,apache,0.0,Merged,5,0,
spark,16664,review,99518656,non_debt,-,apache,27.0,Closed,5,30,
lucene-solr,900,description,0,non_debt,-,apache,0.0,Closed,18,0,
spark,26397,review,343143873,non_debt,-,apache,6.0,Closed,5,25,SPARK CORE
pulsar,3912,review,269441199,non_debt,-,apache,1.0,Merged,1,3,"enhancement, component/build"
spark,16630,review,100701441,non_debt,-,apache,190.0,Closed,21,30,
gobblin,88,comment,93015026,non_debt,-,apache,0.0,Merged,3,24,
lucene-solr,1303,review,387662567,code_debt,complex_code,apache,3.0,Merged,7,11,
spark,2350,review,17861794,non_debt,-,apache,12.0,Closed,21,30,
tajo,643,comment,124004304,non_debt,-,apache,0.0,Closed,30,1,
kafka,712,comment,169440932,non_debt,-,apache,15.0,Closed,2,8,
systemds,555,comment,311491581,non_debt,-,apache,3.0,Closed,4,5,
arrow,4542,review,293670228,code_debt,slow_algorithm,apache,11.0,Closed,12,30,Component: Java
trafficserver,3010,description,0,non_debt,-,apache,0.0,Merged,1,3,Coverity
drill,159,review,39804781,test_debt,lack_of_tests,apache,16.0,Closed,2,30,
spark,23230,comment,444455224,non_debt,-,apache,0.0,Closed,1,0,
drill,1683,review,264045846,non_debt,-,apache,4.0,Closed,2,30,
