project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
spark,18912,comment,321716909,non_debt,-,apache,0.0,Closed
arrow,4373,summary,0,non_debt,-,apache,9.0,Closed
hbase,1465,review,406331300,non_debt,-,apache,6.0,Closed
geode-native,27,review,102746696,non_debt,-,apache,1.0,Closed
druid,4162,review,111186559,non_debt,-,apache,1.0,Merged
incubator-doris,5033,review,538948912,non_debt,-,apache,6.0,Merged
nifi,3425,comment,482711295,non_debt,-,apache,33.0,Closed
trafficserver,1073,review,84208555,non_debt,-,apache,45.0,Closed
geode,3983,description,0,non_debt,-,apache,1.0,Merged
couchdb,1765,description,0,non_debt,-,apache,0.0,Closed
iceberg,1321,summary,0,non_debt,-,apache,3.0,Merged
zookeeper,774,comment,454206605,non_debt,-,apache,0.0,Closed
spark,21169,comment,386474214,non_debt,-,apache,6.0,Closed
druid,1576,review,56544892,non_debt,-,apache,233.0,Merged
lucene-solr,345,comment,379675351,non_debt,-,apache,296.0,Closed
spark,31119,review,559304940,non_debt,-,apache,2.0,Closed
druid,10366,review,493174369,non_debt,-,apache,31.0,Merged
hive,964,summary,0,non_debt,-,apache,75.0,Closed
beam,13622,summary,0,non_debt,-,apache,2.0,Merged
incubator-mxnet,9808,description,0,non_debt,-,apache,95.0,Merged
airflow,4535,summary,0,non_debt,-,apache,13.0,Merged
airflow,1488,comment,222606343,code_debt,low_quality_code,apache,163.0,Closed
spark,10989,review,51461171,non_debt,-,apache,4.0,Closed
trafficserver,1839,comment,300626875,non_debt,-,apache,0.0,Merged
spark,13877,description,0,non_debt,-,apache,0.0,Closed
spark,27767,comment,593810727,non_debt,-,apache,1.0,Closed
spark,24548,comment,490271765,non_debt,-,apache,3.0,Closed
druid,10891,summary,0,non_debt,-,apache,2.0,Merged
hudi,2309,review,549436300,non_debt,-,apache,408.0,Closed
skywalking,6183,review,556204702,non_debt,-,apache,24.0,Merged
flink,11071,review,378317546,non_debt,-,apache,8.0,Closed
zookeeper,307,review,127633626,non_debt,-,apache,,Not Closed or Merged
airflow,8962,comment,643526181,non_debt,-,apache,33.0,Merged
spark,3173,comment,74416823,non_debt,-,apache,33.0,Closed
incubator-pinot,4397,review,307084550,documentation_debt,outdated_documentation,apache,26.0,Merged
spark,7711,comment,125508146,non_debt,-,apache,2.0,Closed
superset,8106,description,0,non_debt,-,apache,0.0,Merged
systemds,643,review,143645110,non_debt,-,apache,52.0,Closed
spark,28661,comment,635693433,code_debt,low_quality_code,apache,3.0,Closed
beam,14026,summary,0,non_debt,-,apache,4.0,Merged
samza,583,review,210977975,non_debt,-,apache,34.0,Closed
nifi,914,review,75858615,code_debt,low_quality_code,apache,0.0,Closed
calcite,1917,review,410016516,non_debt,-,apache,39.0,Closed
tvm,4847,comment,584462639,code_debt,low_quality_code,apache,36.0,Merged
spark,5851,review,29545347,non_debt,-,apache,1.0,Closed
kafka,3423,review,123887166,non_debt,-,apache,17.0,Closed
spark,24043,review,292472811,test_debt,lack_of_tests,apache,111.0,Closed
carbondata,2494,comment,404423063,non_debt,-,apache,1.0,Closed
incubator-weex,1114,comment,381873245,non_debt,-,apache,11.0,Merged
spark,4677,review,25138912,non_debt,-,apache,6.0,Closed
nifi,2391,description,0,non_debt,-,apache,21.0,Closed
beam,13492,comment,811490297,non_debt,-,apache,130.0,Merged
airflow,5041,comment,482868293,non_debt,-,apache,19.0,Merged
spark,16047,comment,263429488,non_debt,-,apache,0.0,Closed
carbondata,1805,review,162311702,non_debt,-,apache,3.0,Closed
ambari,414,summary,0,non_debt,-,apache,0.0,Merged
activemq-artemis,31,comment,112713726,non_debt,-,apache,0.0,Closed
incubator-mxnet,14475,comment,474913650,non_debt,-,apache,1.0,Merged
kafka,4461,description,0,non_debt,-,apache,0.0,Closed
dubbo,413,summary,0,non_debt,-,apache,2.0,Closed
spark,25905,comment,534375300,non_debt,-,apache,0.0,Closed
kafka,10383,description,0,non_debt,-,apache,,Not Closed or Merged
spark,25626,review,320607427,non_debt,-,apache,24.0,Closed
cloudstack,3828,comment,593394720,non_debt,-,apache,44.0,Merged
flink,10146,review,351864748,non_debt,-,apache,27.0,Closed
spark,15272,description,0,code_debt,complex_code,apache,22.0,Closed
druid,1983,comment,160717532,non_debt,-,apache,0.0,Merged
airflow,2816,description,0,documentation_debt,low_quality_documentation,apache,0.0,Closed
beam,11344,comment,610881306,non_debt,-,apache,1.0,Merged
arrow,167,description,0,non_debt,-,apache,0.0,Closed
kafka,3152,comment,304934017,non_debt,-,apache,4.0,Closed
flink,12218,summary,0,non_debt,-,apache,0.0,Merged
airflow,697,comment,192552103,non_debt,-,apache,7.0,Merged
gobblin,435,review,44064138,non_debt,-,apache,4.0,Merged
tinkerpop,1412,comment,812726281,non_debt,-,apache,1.0,Merged
beam,12240,comment,658370577,non_debt,-,apache,2.0,Merged
trafficserver,369,description,0,non_debt,-,apache,6.0,Merged
activemq-artemis,2741,comment,524821666,non_debt,-,apache,51.0,Closed
openwhisk,2081,review,108746758,non_debt,-,apache,5.0,Closed
carbondata,777,comment,293853193,non_debt,-,apache,3.0,Closed
airflow,11270,comment,703367324,non_debt,-,apache,10.0,Closed
incubator-doris,764,review,268427310,non_debt,-,apache,10.0,Merged
beam,1278,review,86889887,design_debt,non-optimal_design,apache,6.0,Closed
nifi,4599,review,539711164,non_debt,-,apache,58.0,Closed
shardingsphere,3879,summary,0,non_debt,-,apache,0.0,Merged
storm,1154,comment,251518436,non_debt,-,apache,221.0,Closed
spark,14712,review,75569715,non_debt,-,apache,17.0,Closed
incubator-pinot,5823,summary,0,non_debt,-,apache,4.0,Merged
ambari,3146,summary,0,non_debt,-,apache,1056.0,Closed
skywalking,4337,comment,584513941,non_debt,-,apache,1.0,Merged
calcite,1278,comment,506493736,non_debt,-,apache,5.0,Merged
flink,8359,review,282768056,non_debt,-,apache,12.0,Closed
tvm,4923,summary,0,non_debt,-,apache,2.0,Merged
flink,13056,review,465675256,non_debt,-,apache,6.0,Closed
spark,15901,comment,261837764,non_debt,-,apache,4.0,Closed
carbondata,1923,comment,362808650,non_debt,-,apache,0.0,Closed
nifi,1103,review,81982607,non_debt,-,apache,0.0,Closed
kafka,6032,comment,448645801,non_debt,-,apache,20.0,Merged
spark,9134,review,42121597,non_debt,-,apache,8.0,Closed
superset,3733,description,0,non_debt,-,apache,0.0,Merged
