project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
kafka,6596,review,276504405,non_debt,-,apache,42,Merged
spark,29982,comment,709978338,non_debt,-,apache,87,Closed
iceberg,1748,review,521566746,non_debt,-,apache,9,Merged
spark,288,review,11231217,non_debt,-,apache,5,Closed
spark,19208,review,149225714,non_debt,-,apache,63,Closed
parquet-mr,808,comment,672774756,design_debt,non-optimal_design,apache,107,Merged
tvm,7404,comment,776327280,non_debt,-,apache,6,Merged
couchdb,2426,description,0,code_debt,low_quality_code,apache,1,Merged
beam,11554,comment,628786151,non_debt,-,apache,16,Merged
beam,4910,review,175947778,code_debt,low_quality_code,apache,1,Merged
lucene-solr,2245,review,564552680,non_debt,-,apache,0,Merged
spark,23982,review,263647807,code_debt,low_quality_code,apache,5,Closed
superset,5800,comment,454525415,non_debt,-,apache,133,Merged
spark,22288,comment,425489570,non_debt,-,apache,67,Closed
spark,19432,summary,0,non_debt,-,apache,0,Closed
beam,6554,comment,426507664,non_debt,-,apache,0,Merged
hadoop,1263,comment,523038215,non_debt,-,apache,12,Closed
beam,6093,comment,409713790,non_debt,-,apache,9,Merged
spark,6003,comment,100132904,non_debt,-,apache,4,Closed
spark,22820,comment,432872093,non_debt,-,apache,1,Closed
beam,8026,summary,0,non_debt,-,apache,0,Merged
carbondata,1476,comment,343572149,non_debt,-,apache,4,Closed
lucene-solr,2229,review,562524364,code_debt,low_quality_code,apache,0,Merged
spark,14339,description,0,non_debt,-,apache,0,Closed
ignite,8207,review,485543038,non_debt,-,apache,8,Merged
calcite,1714,comment,570713589,non_debt,-,apache,5,Merged
beam,1889,comment,276743422,non_debt,-,apache,1,Closed
activemq-artemis,2106,comment,391761041,non_debt,-,apache,0,Closed
arrow,2808,summary,0,non_debt,-,apache,0,Closed
spark,6759,review,32197414,non_debt,-,apache,11,Closed
druid,6349,review,224141572,non_debt,-,apache,138,Merged
flink,12412,review,433847667,non_debt,-,apache,4,Closed
airflow,2869,review,156870749,non_debt,-,apache,10,Closed
flink,9748,review,328404835,documentation_debt,low_quality_documentation,apache,2,Closed
nifi-minifi-cpp,62,review,104827822,non_debt,-,apache,7,Closed
zeppelin,208,review,58003498,non_debt,-,apache,236,Closed
nifi,200,comment,180874341,non_debt,-,apache,1,Closed
spark,23291,review,247307662,non_debt,-,apache,34,Closed
camel,2151,comment,352353675,non_debt,-,apache,2,Closed
superset,8867,review,360617020,documentation_debt,low_quality_documentation,apache,75,Merged
lucene-solr,1847,summary,0,non_debt,-,apache,5,Merged
tvm,4144,summary,0,documentation_debt,low_quality_documentation,apache,0,Merged
reef,261,review,34074950,non_debt,-,apache,7,Closed
beam,2536,comment,294071905,non_debt,-,apache,3,Closed
bigtop,81,summary,0,non_debt,-,apache,0,Closed
spark,23677,review,298342839,non_debt,-,apache,182,Closed
arrow,8177,review,488076230,non_debt,-,apache,8,Closed
kafka,4880,review,182225768,non_debt,-,apache,1,Merged
kafka,3131,comment,312119156,non_debt,-,apache,243,Closed
hadoop,1881,review,388858948,code_debt,low_quality_code,apache,17,Merged
flink,12758,comment,649547883,non_debt,-,apache,4,Closed
cloudstack,2721,review,201307689,non_debt,-,apache,17,Merged
beam,329,description,0,non_debt,-,apache,0,Merged
flink,5367,review,165039357,code_debt,complex_code,apache,10,Closed
netbeans,449,description,0,non_debt,-,apache,104,Closed
hudi,1149,comment,669295110,non_debt,-,apache,216,Merged
flink,8449,comment,492630818,non_debt,-,apache,8,Closed
trafodion,309,comment,180436567,non_debt,-,apache,0,Merged
kafka,4855,comment,383759105,non_debt,-,apache,44,Merged
druid,10070,review,445155089,code_debt,low_quality_code,apache,0,Merged
cloudstack,3600,comment,580152807,non_debt,-,apache,617,Merged
beam,7174,review,238478822,non_debt,-,apache,12,Merged
trafodion,294,comment,178076645,documentation_debt,low_quality_documentation,apache,4,Merged
ozone,2000,review,600354804,non_debt,-,apache,23,Merged
calcite,552,review,275722923,non_debt,-,apache,736,Closed
spark,10734,review,49557801,non_debt,-,apache,0,Closed
trafficserver,833,comment,237111945,non_debt,-,apache,44,Merged
arrow,4613,review,296764162,non_debt,-,apache,5,Closed
spark,23272,description,0,non_debt,-,apache,1,Closed
trafficcontrol,1480,comment,366315191,non_debt,-,apache,128,Merged
incubator-mxnet,5336,description,0,non_debt,-,apache,1,Merged
druid,5278,review,164339035,non_debt,-,apache,29,Merged
spark,6157,comment,102176652,non_debt,-,apache,0,Closed
tvm,1403,review,201886571,code_debt,low_quality_code,apache,4,Merged
kafka,7799,review,364476808,code_debt,low_quality_code,apache,32,Merged
netbeans-website,473,review,430013474,code_debt,slow_algorithm,apache,17,Merged
geode-native,634,review,471802267,non_debt,-,apache,2,Merged
flink,854,comment,114331577,non_debt,-,apache,22,Closed
kafka,2314,comment,270717795,non_debt,-,apache,1,Closed
incubator-mxnet,9810,review,170436506,non_debt,-,apache,8,Merged
spark,16810,comment,278314048,non_debt,-,apache,3,Closed
kafka,3188,review,137854355,non_debt,-,apache,111,Closed
apisix,3894,review,600109033,non_debt,-,apache,203,Merged
netbeans,968,comment,430955215,documentation_debt,low_quality_documentation,apache,104,Closed
kafka,3269,comment,307775797,non_debt,-,apache,42,Closed
hawq,90,review,44373709,non_debt,-,apache,0,Closed
tvm,5044,summary,0,non_debt,-,apache,0,Merged
