project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
incubator-mxnet,15277,review,296085060,code_debt,low_quality_code,apache,20,Closed
superset,7085,comment,475441559,non_debt,-,apache,0,Merged
spark,14112,comment,231556655,non_debt,-,apache,60,Closed
spark,28641,review,435012863,code_debt,complex_code,apache,20,Closed
cloudstack,2298,comment,355495161,non_debt,-,apache,89,Merged
kafka,182,review,38580655,non_debt,-,apache,28,Closed
flink,879,comment,118008845,code_debt,complex_code,apache,19,Closed
incubator-mxnet,988,description,0,non_debt,-,apache,0,Merged
spark,15303,comment,250590621,non_debt,-,apache,12,Closed
storm,1173,review,54728326,non_debt,-,apache,5,Merged
tvm,6391,review,483906265,non_debt,-,apache,5,Merged
spark,9611,review,44488912,non_debt,-,apache,0,Closed
arrow,6271,description,0,non_debt,-,apache,0,Closed
ozone,1233,review,482676002,code_debt,low_quality_code,apache,44,Merged
carbondata,1321,review,138830621,code_debt,complex_code,apache,12,Closed
hbase,954,review,362696454,non_debt,-,apache,25,Merged
cloudstack,1572,comment,253562333,test_debt,lack_of_tests,apache,135,Merged
hadoop,1478,review,326718672,non_debt,-,apache,24,Merged
trafodion,893,comment,269052296,non_debt,-,apache,10,Merged
spark,16038,comment,263308381,non_debt,-,apache,1,Closed
flink,12176,review,426131381,non_debt,-,apache,2,Closed
nifi,2237,description,0,non_debt,-,apache,3,Closed
spark,6189,comment,102571697,non_debt,-,apache,4,Closed
flink,178,description,0,non_debt,-,apache,6,Closed
tajo,181,comment,64865141,non_debt,-,apache,53,Closed
druid,2960,summary,0,non_debt,-,apache,0,Merged
flink,10059,summary,0,non_debt,-,apache,175,Merged
spark,6682,comment,109564743,non_debt,-,apache,5,Closed
spark,29537,review,476211215,non_debt,-,apache,0,Closed
cloudstack,872,comment,144036889,non_debt,-,apache,511,Closed
spark,2442,description,0,non_debt,-,apache,0,Closed
zeppelin,96,description,0,non_debt,-,apache,15,Closed
spark,14524,review,74780485,non_debt,-,apache,18,Closed
incubator-dolphinscheduler,2145,summary,0,non_debt,-,apache,0,Merged
flink,3574,review,107107801,non_debt,-,apache,10,Closed
kafka,4959,review,188774183,non_debt,-,apache,16,Merged
openwhisk,4870,review,399976882,code_debt,slow_algorithm,apache,0,Closed
incubator-mxnet,16223,summary,0,non_debt,-,apache,3,Merged
hbase,2747,review,541310426,non_debt,-,apache,97,Closed
nutch,219,review,136047841,non_debt,-,apache,110,Merged
flink,10911,review,368829260,non_debt,-,apache,0,Closed
camel,5121,comment,785170374,non_debt,-,apache,6,Merged
spark,5355,review,28042923,code_debt,low_quality_code,apache,6,Closed
trafficcontrol,3601,review,297263939,code_debt,low_quality_code,apache,59,Merged
hbase,1162,comment,584527412,non_debt,-,apache,1,Merged
spark,16355,comment,269544809,non_debt,-,apache,34,Closed
kafka,3425,review,173644384,non_debt,-,apache,262,Merged
cloudstack,2594,description,0,code_debt,dead_code,apache,1,Merged
activemq-artemis,3365,comment,744761907,non_debt,-,apache,188,Closed
beam,5696,review,196893936,non_debt,-,apache,0,Merged
spark,10427,comment,175997712,non_debt,-,apache,49,Closed
flink,9866,review,333911282,code_debt,low_quality_code,apache,6,Closed
jena,337,review,159239355,code_debt,low_quality_code,apache,4,Merged
airflow,11132,review,495856534,code_debt,low_quality_code,apache,10,Merged
pulsar,1029,review,164277238,non_debt,-,apache,26,Merged
zookeeper,983,comment,504269773,non_debt,-,apache,9,Closed
flink,1052,comment,134567455,code_debt,low_quality_code,apache,14,Closed
spark,12601,review,67582037,non_debt,-,apache,157,Closed
spark,30671,description,0,non_debt,-,apache,0,Closed
carbondata,3091,comment,466028784,non_debt,-,apache,31,Closed
iceberg,1793,review,553700047,code_debt,low_quality_code,apache,54,Merged
druid,6911,comment,460336824,non_debt,-,apache,27,Merged
kylin,1538,review,555469177,non_debt,-,apache,12,Merged
flink,6076,review,192981069,code_debt,low_quality_code,apache,73,Merged
kafka,2054,comment,271061611,non_debt,-,apache,220,Closed
spark,29231,comment,710633885,non_debt,-,apache,0,Closed
spark,25863,comment,533796440,non_debt,-,apache,108,Closed
storm,1781,comment,262494323,design_debt,non-optimal_design,apache,139,Merged
flink,6924,review,230024940,non_debt,-,apache,12,Merged
flink,11491,review,398874253,non_debt,-,apache,15,Closed
ignite,8456,description,0,non_debt,-,apache,17,Closed
incubator-doris,3369,review,421548232,non_debt,-,apache,20,Merged
arrow,8890,review,540609789,non_debt,-,apache,3,Closed
spark,11601,review,59323059,non_debt,-,apache,372,Closed
trafodion,1036,review,109077021,code_debt,low_quality_code,apache,19,Merged
carbondata,1515,comment,345413264,non_debt,-,apache,1,Closed
gobblin,1422,review,91768891,non_debt,-,apache,22,Merged
carbondata,1196,comment,318106840,non_debt,-,apache,1,Closed
hbase,3024,comment,791866049,non_debt,-,apache,10,Merged
openwhisk-wskdeploy,564,description,0,non_debt,-,apache,0,Merged
iceberg,1145,review,449363672,non_debt,-,apache,38,Merged
spark,4537,comment,97585868,non_debt,-,apache,79,Closed
flink,3715,review,126987096,non_debt,-,apache,91,Closed
trafodion,1753,comment,443198539,non_debt,-,apache,54,Closed
kafka,5548,review,211911555,non_debt,-,apache,2,Merged
spark,24518,comment,489824088,non_debt,-,apache,5,Closed
hadoop,2470,review,534462323,non_debt,-,apache,51,Merged
druid,1576,review,53042783,non_debt,-,apache,233,Merged
beam,812,review,75028654,non_debt,-,apache,7,Closed
carbondata,1483,description,0,non_debt,-,apache,3,Closed
openwhisk,871,review,70184998,non_debt,-,apache,11,Closed
activemq-artemis,2484,comment,451563907,non_debt,-,apache,16,Closed
druid,4271,summary,0,non_debt,-,apache,126,Merged
incubator-pinot,5021,summary,0,non_debt,-,apache,0,Merged
spark,1484,review,23672440,code_debt,low_quality_code,apache,199,Closed
flink,13795,comment,717237283,non_debt,-,apache,0,Closed
trafficserver,3820,comment,396753626,non_debt,-,apache,1,Merged
spark,28952,review,447482241,code_debt,low_quality_code,apache,1,Closed
airflow,10103,comment,667608032,non_debt,-,apache,0,Merged
hadoop,641,comment,477725418,non_debt,-,apache,2,Merged
