project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
ozone,91,description,0,non_debt,-,apache,0.0,Merged
spark,24490,comment,488126326,non_debt,-,apache,40.0,Closed
rocketmq,1563,summary,0,non_debt,-,apache,8.0,Merged
kafka,2926,comment,297827982,non_debt,-,apache,5.0,Closed
incubator-pagespeed-ngx,1362,review,96928694,non_debt,-,apache,0.0,Merged
spark,26682,review,371318137,code_debt,low_quality_code,apache,51.0,Closed
spark,12474,comment,211507927,design_debt,non-optimal_design,apache,92.0,Closed
carbondata,240,review,84475433,requirement_debt,requirement_partially_implemented,apache,6.0,Closed
kafka,6601,review,276552165,non_debt,-,apache,12.0,Merged
incubator-pinot,1260,description,0,non_debt,-,apache,0.0,Merged
spark,19911,review,155335791,code_debt,low_quality_code,apache,6.0,Closed
reef,1473,review,198332781,code_debt,low_quality_code,apache,,Not Closed or Merged
reef,1487,review,258710277,non_debt,-,apache,,Not Closed or Merged
hbase,2392,comment,694938784,non_debt,-,apache,7.0,Merged
thrift,162,comment,49839795,non_debt,-,apache,41.0,Closed
tvm,7053,summary,0,non_debt,-,apache,1.0,Closed
spark,15329,comment,252432203,non_debt,-,apache,94.0,Closed
nifi-minifi-cpp,888,review,483008523,non_debt,-,apache,7.0,Closed
spark,8253,review,37247740,non_debt,-,apache,0.0,Closed
arrow,5969,review,363018200,non_debt,-,apache,36.0,Closed
hudi,1457,comment,611819504,non_debt,-,apache,19.0,Merged
tinkerpop,377,comment,239186446,non_debt,-,apache,1.0,Merged
iceberg,843,review,396016799,non_debt,-,apache,21.0,Merged
spark,11236,comment,189069233,design_debt,non-optimal_design,apache,8.0,Closed
nifi,2828,review,199534888,non_debt,-,apache,3.0,Closed
cloudstack,4141,comment,669956049,non_debt,-,apache,558.0,Closed
camel,2976,description,0,non_debt,-,apache,0.0,Closed
drill,159,review,39996293,non_debt,-,apache,16.0,Closed
gobblin,1283,review,80815984,non_debt,-,apache,3.0,Merged
zeppelin,3897,description,0,code_debt,dead_code,apache,6.0,Closed
kafka,5874,comment,435637476,non_debt,-,apache,13.0,Merged
systemds,1023,comment,728301245,code_debt,low_quality_code,apache,91.0,Closed
spark,30212,review,601172541,non_debt,-,apache,150.0,Closed
beam,13984,comment,778422690,non_debt,-,apache,0.0,Merged
flink,4684,review,139929465,non_debt,-,apache,5.0,Closed
spark,31296,review,562868528,code_debt,low_quality_code,apache,108.0,Closed
hbase,2483,review,521531128,non_debt,-,apache,47.0,Merged
incubator-mxnet,12572,review,218248701,non_debt,-,apache,27.0,Merged
airflow,3443,comment,400939280,non_debt,-,apache,181.0,Closed
spark,21127,comment,383582817,non_debt,-,apache,0.0,Closed
druid,2025,comment,166169384,non_debt,-,apache,284.0,Closed
airflow,2095,summary,0,non_debt,-,apache,0.0,Closed
arrow,7818,review,459082935,non_debt,-,apache,12.0,Closed
gobblin,2645,comment,497887473,non_debt,-,apache,24.0,Closed
cxf,713,description,0,non_debt,-,apache,8.0,Merged
