project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
activemq-artemis,1820,review,164163557,non_debt,-,apache,2.0,Closed
carbondata,3800,summary,0,code_debt,low_quality_code,apache,8.0,Closed
beam,10758,comment,582703470,non_debt,-,apache,2.0,Merged
nifi,613,comment,231845009,non_debt,-,apache,4.0,Closed
camel-quarkus,1799,comment,693283408,non_debt,-,apache,1.0,Closed
carbondata,546,summary,0,non_debt,-,apache,1.0,Closed
spark,12820,description,0,non_debt,-,apache,1.0,Closed
spark,363,comment,39996864,non_debt,-,apache,6.0,Closed
superset,10274,review,452420889,non_debt,-,apache,11.0,Merged
incubator-mxnet,15371,review,302817980,code_debt,dead_code,apache,614.0,Closed
carbondata,4067,comment,752143730,non_debt,-,apache,1.0,Closed
trafodion,1565,comment,408606664,non_debt,-,apache,,Not Closed or Merged
spark,1856,comment,53352004,non_debt,-,apache,17.0,Closed
incubator-brooklyn,131,review,16893613,code_debt,duplicated_code,apache,2.0,Merged
helix,570,review,342878123,non_debt,-,apache,8.0,Merged
storm,2567,comment,367118419,non_debt,-,apache,5.0,Merged
carbondata,3962,comment,701346144,non_debt,-,apache,8.0,Closed
camel-website,261,description,0,non_debt,-,apache,0.0,Merged
tvm,2773,review,283191720,documentation_debt,low_quality_documentation,apache,74.0,Merged
attic-apex-core,552,review,125503864,non_debt,-,apache,4.0,Merged
beam,3385,comment,309494094,non_debt,-,apache,2.0,Closed
nifi,4138,summary,0,non_debt,-,apache,0.0,Closed
carbondata,4110,comment,808462123,non_debt,-,apache,33.0,Closed
nifi-minifi-cpp,805,review,438146885,non_debt,-,apache,1.0,Closed
kylin,1520,comment,749278320,non_debt,-,apache,1.0,Merged
spark,24793,review,303463548,non_debt,-,apache,42.0,Closed
nifi-minifi-cpp,275,comment,373117634,non_debt,-,apache,6.0,Closed
brooklyn-server,551,comment,278714166,non_debt,-,apache,0.0,Merged
cloudstack,1953,review,102184780,code_debt,complex_code,apache,22.0,Merged
kafka,7568,comment,545474990,non_debt,-,apache,105.0,Merged
spark,28935,review,446595267,non_debt,-,apache,10.0,Closed
spark,19885,review,154827513,non_debt,-,apache,37.0,Closed
kylin,633,review,288895567,non_debt,-,apache,24.0,Merged
hadoop,2051,comment,640165168,non_debt,-,apache,41.0,Merged
kafka,5270,review,199701535,non_debt,-,apache,34.0,Merged
flink,8290,review,281073584,non_debt,-,apache,13.0,Closed
kafka,3420,review,123811838,non_debt,-,apache,0.0,Closed
spark,18421,comment,319185787,non_debt,-,apache,53.0,Closed
superset,9321,comment,607398469,non_debt,-,apache,157.0,Merged
spark,24952,comment,505132786,non_debt,-,apache,3.0,Closed
incubator-doris,3651,review,429155817,non_debt,-,apache,3.0,Merged
openwhisk,915,comment,233446020,non_debt,-,apache,0.0,Closed
spark,24300,description,0,code_debt,low_quality_code,apache,0.0,Closed
spark,28391,comment,638625572,non_debt,-,apache,46.0,Closed
nifi-minifi-cpp,188,review,153901727,non_debt,-,apache,19.0,Closed
druid,2296,comment,173051557,non_debt,-,apache,0.0,Merged
spark,17945,comment,300855402,non_debt,-,apache,1.0,Closed
calcite,1995,comment,640931839,non_debt,-,apache,8.0,Closed
incubator-mxnet,13088,comment,449914577,non_debt,-,apache,63.0,Merged
flink,1412,comment,206349631,non_debt,-,apache,131.0,Closed
spark,5955,comment,99642187,non_debt,-,apache,14.0,Closed
dubbo,3182,review,247350659,non_debt,-,apache,4.0,Merged
couchdb,1808,summary,0,non_debt,-,apache,23.0,Merged
hbase,2491,description,0,non_debt,-,apache,3.0,Merged
zeppelin,2601,review,141550143,non_debt,-,apache,243.0,Closed
storm,1112,comment,184703067,non_debt,-,apache,9.0,Merged
superset,12739,description,0,documentation_debt,low_quality_documentation,apache,0.0,Merged
commons-lang,261,comment,289800588,test_debt,low_coverage,apache,26.0,Closed
spark,9919,summary,0,non_debt,-,apache,0.0,Closed
tvm,4628,review,386174484,non_debt,-,apache,65.0,Merged
trafficserver,4992,summary,0,non_debt,-,apache,0.0,Merged
openwhisk,1330,summary,0,non_debt,-,apache,1.0,Merged
kafka,1815,comment,316914906,non_debt,-,apache,541.0,Closed
beam,5049,comment,379410687,code_debt,low_quality_code,apache,3.0,Merged
airflow,12829,description,0,non_debt,-,apache,0.0,Merged
