project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
spark,5434,comment,92291279,code_debt,low_quality_code,apache,5.0,Closed
lucene-solr,1394,review,401749799,non_debt,-,apache,2.0,Merged
spark,20710,comment,370609796,non_debt,-,apache,3.0,Closed
arrow,2039,review,187847713,non_debt,-,apache,0.0,Closed
storm,44,comment,38187106,non_debt,-,apache,14.0,Merged
flink,4074,review,121618430,non_debt,-,apache,20.0,Closed
carbondata,2628,comment,420569857,non_debt,-,apache,32.0,Closed
beam,1706,review,95843283,code_debt,low_quality_code,apache,49.0,Closed
carbondata,511,summary,0,non_debt,-,apache,4.0,Closed
bigtop,609,comment,592314776,non_debt,-,apache,0.0,Merged
beam,4185,review,153627791,documentation_debt,low_quality_documentation,apache,49.0,Merged
spark,31252,review,560703040,non_debt,-,apache,9.0,Closed
skywalking,1318,summary,0,non_debt,-,apache,0.0,Merged
hbase,2099,comment,660626678,non_debt,-,apache,0.0,Closed
hudi,1810,review,453190335,non_debt,-,apache,28.0,Merged
shardingsphere,2416,description,0,non_debt,-,apache,0.0,Merged
carbondata,513,review,95326107,non_debt,-,apache,0.0,Closed
lucene-solr,1208,review,370881326,non_debt,-,apache,11.0,Merged
ignite,8490,review,591299549,non_debt,-,apache,128.0,Closed
incubator-brooklyn,1013,review,44434065,non_debt,-,apache,2.0,Merged
spark,12914,comment,217291600,non_debt,-,apache,104.0,Closed
carbondata,2406,comment,399857961,non_debt,-,apache,11.0,Closed
carbondata,2379,comment,398649225,non_debt,-,apache,1.0,Closed
shardingsphere,7704,review,501049860,non_debt,-,apache,2.0,Merged
pulsar,8367,comment,716102786,non_debt,-,apache,0.0,Merged
trafficserver,4764,comment,461578856,non_debt,-,apache,43.0,Merged
airflow,3992,review,224698969,non_debt,-,apache,420.0,Closed
drill,1561,review,239298502,non_debt,-,apache,2.0,Closed
incubator-dolphinscheduler,3069,description,0,non_debt,-,apache,1.0,Closed
spark,8153,comment,131457310,non_debt,-,apache,4.0,Closed
dubbo,2800,summary,0,non_debt,-,apache,2.0,Merged
kafka,2689,review,106283199,non_debt,-,apache,1.0,Closed
spark,14156,summary,0,non_debt,-,apache,23.0,Closed
beam,7905,comment,465772598,non_debt,-,apache,15.0,Merged
camel-quarkus,570,review,360695073,design_debt,non-optimal_design,apache,1.0,Merged
arrow,4258,comment,490781968,code_debt,slow_algorithm,apache,4.0,Closed
hadoop,1899,review,408627634,non_debt,-,apache,37.0,Merged
superset,798,summary,0,non_debt,-,apache,11.0,Merged
superset,8219,review,344937948,non_debt,-,apache,82.0,Merged
systemds,765,review,189691788,non_debt,-,apache,0.0,Closed
spark,29596,comment,683887778,non_debt,-,apache,0.0,Closed
beam,11564,review,419142387,non_debt,-,apache,8.0,Merged
spark,15970,comment,309166657,non_debt,-,apache,1154.0,Closed
cloudstack,3758,comment,576731060,non_debt,-,apache,47.0,Merged
accumulo,1637,comment,656218117,non_debt,-,apache,19.0,Closed
tinkerpop,141,review,44267313,documentation_debt,low_quality_documentation,apache,15.0,Merged
trafficserver,970,description,0,non_debt,-,apache,0.0,Merged
spark,14623,comment,239541850,non_debt,-,apache,51.0,Closed
geode-native,433,description,0,non_debt,-,apache,0.0,Merged
superset,10224,review,448684392,non_debt,-,apache,0.0,Merged
spark,7950,comment,128094701,non_debt,-,apache,75.0,Closed
nifi,4369,review,452304677,documentation_debt,low_quality_documentation,apache,12.0,Closed
iceberg,1143,comment,651924427,non_debt,-,apache,5.0,Closed
hawq,178,comment,163559468,non_debt,-,apache,0.0,Merged
beam,14057,summary,0,non_debt,-,apache,0.0,Merged
spark,1290,comment,67089972,non_debt,-,apache,404.0,Closed
tinkerpop,1309,comment,677678867,code_debt,low_quality_code,apache,13.0,Merged
spark,30257,comment,722126716,non_debt,-,apache,3.0,Closed
druid,2119,review,48119969,non_debt,-,apache,3.0,Merged
beam,235,review,61004234,non_debt,-,apache,2.0,Merged
spark,10152,comment,182591988,non_debt,-,apache,79.0,Closed
hbase,921,review,357310388,non_debt,-,apache,72.0,Closed
nifi,4460,description,0,non_debt,-,apache,214.0,Closed
spark,20217,review,160950460,non_debt,-,apache,2.0,Closed
incubator-dolphinscheduler,1633,summary,0,non_debt,-,apache,0.0,Merged
druid,2883,comment,277517522,non_debt,-,apache,301.0,Closed
spark,22952,review,237314459,non_debt,-,apache,364.0,Closed
trafficserver,6241,review,537619263,non_debt,-,apache,455.0,Merged
flink,12908,review,460758814,non_debt,-,apache,35.0,Merged
accumulo,1450,review,355582479,non_debt,-,apache,35.0,Merged
spark,17219,comment,288655605,non_debt,-,apache,14.0,Closed
beam,14395,summary,0,non_debt,-,apache,36.0,Merged
tvm,4747,review,368744581,non_debt,-,apache,14.0,Merged
flink,13885,comment,734116774,non_debt,-,apache,36.0,Closed
flink,9203,review,306633770,non_debt,-,apache,7.0,Closed
spark,13778,comment,227367173,non_debt,-,apache,43.0,Closed
fineract,502,description,0,non_debt,-,apache,45.0,Closed
cloudstack,3042,comment,441590415,non_debt,-,apache,5.0,Merged
