project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
openwhisk,3696,comment,391734844,non_debt,-,apache,0,Merged
carbondata,4045,comment,803626913,non_debt,-,apache,1063,Closed
kafka,1673,comment,235947414,non_debt,-,apache,0,Closed
ignite,4519,description,0,non_debt,-,apache,3,Closed
flink,15313,review,603262596,non_debt,-,apache,8,Closed
spark,17459,review,118818160,code_debt,low_quality_code,apache,64,Closed
hive,335,review,187593991,non_debt,-,apache,793,Closed
flink,6698,review,223291788,non_debt,-,apache,1064,Closed
spark,19222,review,179397907,non_debt,-,apache,204,Closed
spark,11349,comment,189473112,non_debt,-,apache,2,Closed
netbeans,1021,comment,441019332,non_debt,-,apache,7,Merged
hbase,809,review,344314816,code_debt,slow_algorithm,apache,7,Closed
kafka,2476,review,103751509,non_debt,-,apache,55,Closed
spark,17248,summary,0,non_debt,-,apache,108,Closed
spark,5361,summary,0,non_debt,-,apache,15,Closed
daffodil,19,comment,352417409,non_debt,-,apache,3,Merged
spark,4788,description,0,non_debt,-,apache,0,Closed
camel-k,2125,summary,0,non_debt,-,apache,0,Merged
spark,1313,comment,50300190,non_debt,-,apache,30,Closed
activemq-artemis,1231,comment,297753130,non_debt,-,apache,7,Closed
thrift,1586,comment,450271533,non_debt,-,apache,144,Closed
spark,21473,comment,394487970,non_debt,-,apache,3,Closed
flink,11626,review,404654699,non_debt,-,apache,10,Merged
spark,2851,comment,70644262,non_debt,-,apache,361,Closed
spark,26738,comment,560665325,non_debt,-,apache,1,Closed
tvm,5154,review,399416785,non_debt,-,apache,1,Merged
incubator-pinot,659,review,82649073,non_debt,-,apache,2,Merged
spark,16998,comment,281042949,non_debt,-,apache,39,Closed
incubator-mxnet,17465,comment,579535105,non_debt,-,apache,0,Merged
incubator-mxnet,14409,review,265662688,non_debt,-,apache,2,Merged
kafka,5428,review,208741696,non_debt,-,apache,46,Merged
incubator-mxnet,19896,comment,799899842,non_debt,-,apache,177,Merged
cloudstack,720,comment,132769493,non_debt,-,apache,153,Closed
flink,11671,review,407302559,non_debt,-,apache,8,Closed
tinkerpop,889,comment,408684427,non_debt,-,apache,47,Merged
hudi,2048,review,488345849,non_debt,-,apache,33,Merged
beam,6343,description,0,non_debt,-,apache,68,Closed
arrow,8503,review,510061337,non_debt,-,apache,7,Closed
spark,28016,comment,604128330,non_debt,-,apache,1,Closed
incubator-mxnet,5558,description,0,non_debt,-,apache,0,Merged
airflow,11589,review,516156770,non_debt,-,apache,17,Merged
