project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
camel,1114,comment,239095564,non_debt,-,apache,2.0,Closed
karaf,728,comment,456086960,non_debt,-,apache,625.0,Closed
spark,5736,comment,97282994,non_debt,-,apache,0.0,Closed
spark,23271,comment,445728476,non_debt,-,apache,9.0,Closed
beam,12762,review,489745304,non_debt,-,apache,19.0,Merged
arrow,1180,summary,0,non_debt,-,apache,0.0,Closed
tvm,7559,review,585981227,non_debt,-,apache,7.0,Merged
kafka,2832,comment,293337249,non_debt,-,apache,23.0,Closed
trafodion,646,comment,239472021,non_debt,-,apache,42.0,Merged
reef,1178,review,87037022,non_debt,-,apache,6.0,Closed
openwhisk,4782,review,361962838,non_debt,-,apache,17.0,Merged
camel,4496,description,0,test_debt,low_coverage,apache,0.0,Merged
carbondata,2207,comment,394710103,non_debt,-,apache,54.0,Closed
carbondata,3382,comment,530653898,non_debt,-,apache,42.0,Closed
spark,7304,comment,119761734,non_debt,-,apache,0.0,Closed
incubator-pinot,6009,review,487584167,non_debt,-,apache,4.0,Merged
airflow,10380,comment,679216493,non_debt,-,apache,6.0,Merged
incubator-mxnet,13654,review,241911517,test_debt,lack_of_tests,apache,13.0,Merged
pulsar,9064,comment,752293183,non_debt,-,apache,31.0,Merged
druid,1306,review,28990774,non_debt,-,apache,1.0,Merged
flink,2093,review,66788457,non_debt,-,apache,9.0,Closed
cloudstack,1021,comment,152996985,non_debt,-,apache,21.0,Merged
incubator-brooklyn,525,comment,75642639,non_debt,-,apache,7.0,Merged
orc,25,description,0,non_debt,-,apache,3.0,Closed
gobblin,3140,review,512079641,non_debt,-,apache,2.0,Closed
spark,19763,review,152914613,code_debt,low_quality_code,apache,8.0,Closed
parquet-mr,341,review,60160998,non_debt,-,apache,2.0,Closed
airflow,3806,description,0,non_debt,-,apache,48.0,Merged
jmeter,337,description,0,code_debt,low_quality_code,apache,1.0,Closed
pulsar,5043,comment,535733584,non_debt,-,apache,66.0,Merged
spark,27845,comment,596042225,non_debt,-,apache,101.0,Closed
druid,222,review,5907138,non_debt,-,apache,1.0,Merged
incubator-mxnet,18688,comment,656859038,non_debt,-,apache,0.0,Merged
beam,10835,comment,587648002,non_debt,-,apache,7.0,Merged
carbondata,1810,review,162288811,non_debt,-,apache,2.0,Closed
superset,6719,comment,458423396,non_debt,-,apache,18.0,Merged
spark,3670,review,23883301,non_debt,-,apache,56.0,Closed
hbase,1627,review,418984035,code_debt,complex_code,apache,1.0,Merged
spark,18797,description,0,non_debt,-,apache,7.0,Closed
incubator-mxnet,15161,review,292706143,build_debt,over-declared_dependencies,apache,13.0,Merged
airflow,7516,review,383040768,design_debt,non-optimal_design,apache,0.0,Merged
druid,1374,comment,123751832,non_debt,-,apache,91.0,Merged
accumulo,1000,review,262118131,non_debt,-,apache,3.0,Merged
tajo,454,comment,96620163,non_debt,-,apache,,Not Closed or Merged
beam,11145,comment,599899591,non_debt,-,apache,0.0,Merged
systemds,131,summary,0,non_debt,-,apache,6.0,Closed
incubator-mxnet,17808,comment,605590914,test_debt,flaky_test,apache,36.0,Closed
incubator-pinot,5700,review,459633576,code_debt,dead_code,apache,10.0,Merged
accumulo,1330,review,316892853,code_debt,low_quality_code,apache,28.0,Merged
spark,13737,comment,229593343,non_debt,-,apache,13.0,Closed
kafka,2079,description,0,non_debt,-,apache,0.0,Closed
incubator-mxnet,19505,summary,0,non_debt,-,apache,0.0,Merged
hadoop,1143,comment,514249120,non_debt,-,apache,2.0,Closed
spark,29843,comment,727915423,non_debt,-,apache,29.0,Closed
commons-lang,182,comment,298031716,non_debt,-,apache,258.0,Closed
camel-quarkus,878,review,391477642,non_debt,-,apache,4.0,Merged
beam,3219,summary,0,non_debt,-,apache,1.0,Merged
incubator-mxnet,7983,description,0,non_debt,-,apache,0.0,Merged
nifi-minifi-cpp,481,description,0,non_debt,-,apache,0.0,Closed
beam,9098,review,304868969,non_debt,-,apache,56.0,Merged
hadoop,931,comment,508137612,non_debt,-,apache,47.0,Closed
thrift,1219,description,0,non_debt,-,apache,0.0,Closed
arrow,3574,summary,0,non_debt,-,apache,136.0,Closed
iceberg,2294,review,596510752,code_debt,low_quality_code,apache,24.0,Merged
spark,7769,comment,126424306,non_debt,-,apache,1.0,Closed
incubator-mxnet,2791,description,0,non_debt,-,apache,0.0,Merged
trafodion,464,comment,217017345,non_debt,-,apache,0.0,Merged
incubator-mxnet,6183,comment,300849702,non_debt,-,apache,5.0,Merged
kafka,3422,comment,310703708,non_debt,-,apache,0.0,Closed
kafka,6509,comment,479722213,non_debt,-,apache,7.0,Merged
carbondata,3584,review,389603171,code_debt,low_quality_code,apache,65.0,Closed
carbondata,933,comment,303107434,non_debt,-,apache,4.0,Closed
spark,1484,comment,69383220,non_debt,-,apache,199.0,Closed
spark,29715,comment,692354511,design_debt,non-optimal_design,apache,5.0,Closed
accumulo,279,review,126737922,non_debt,-,apache,8.0,Merged
incubator-mxnet,17793,review,390011098,non_debt,-,apache,30.0,Merged
beam,11291,comment,607929824,non_debt,-,apache,6.0,Closed
spark,31264,comment,766672542,non_debt,-,apache,8.0,Closed
spark,22755,comment,434190727,non_debt,-,apache,13.0,Closed
ozone,856,summary,0,non_debt,-,apache,37.0,Merged
spark,1317,comment,48206949,non_debt,-,apache,0.0,Closed
spark,9991,comment,160691520,non_debt,-,apache,5.0,Closed
drill,381,review,54017535,non_debt,-,apache,833.0,Closed
superset,6563,comment,450139305,non_debt,-,apache,6.0,Merged
servicecomb-java-chassis,1013,review,238560805,non_debt,-,apache,7.0,Merged
qpid-dispatch,308,summary,0,non_debt,-,apache,1.0,Closed
kylin,1218,summary,0,non_debt,-,apache,25.0,Merged
spark,1749,summary,0,non_debt,-,apache,5.0,Closed
lucene-solr,2200,review,556614634,non_debt,-,apache,2.0,Merged
spark,3118,review,19986239,non_debt,-,apache,7.0,Closed
beam,13594,comment,749705019,non_debt,-,apache,17.0,Closed
daffodil,3,review,148564978,code_debt,low_quality_code,apache,27.0,Closed
carbondata,691,comment,289054025,non_debt,-,apache,3.0,Closed
carbondata,3436,comment,557416915,non_debt,-,apache,85.0,Closed
arrow,7958,comment,673646755,non_debt,-,apache,0.0,Closed
flink,3900,comment,301477442,non_debt,-,apache,0.0,Closed
tomee,142,review,207653483,non_debt,-,apache,13.0,Merged
apisix-dashboard,1102,review,564459527,non_debt,-,apache,35.0,Merged
beam,3459,comment,312008421,non_debt,-,apache,1.0,Merged
incubator-mxnet,8302,review,155828922,documentation_debt,outdated_documentation,apache,107.0,Merged
