project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
carbondata,2623,comment,413818682,non_debt,-,apache,19,Closed
spark,29950,review,503666896,non_debt,-,apache,62,Closed
incubator-pinot,5987,comment,688946724,non_debt,-,apache,2,Merged
drill,720,review,96553793,non_debt,-,apache,168,Closed
spark,12376,comment,209828163,non_debt,-,apache,4,Closed
flink,4553,comment,322854404,non_debt,-,apache,0,Closed
carbondata,3272,review,292772374,non_debt,-,apache,2,Closed
incubator-dolphinscheduler,4896,review,584050628,code_debt,low_quality_code,apache,0,Merged
kafka,1095,review,60755927,non_debt,-,apache,39,Closed
spark,24983,review,308947640,non_debt,-,apache,191,Closed
ambari,2366,summary,0,non_debt,-,apache,2,Merged
airflow,730,review,85289615,architecture_debt,violation_of_modularity,apache,782,Closed
trafficserver,3903,comment,402768113,code_debt,low_quality_code,apache,11,Merged
apisix-dashboard,379,review,471185309,non_debt,-,apache,0,Merged
spark,2922,comment,60553132,non_debt,-,apache,3,Closed
spark,5511,description,0,code_debt,low_quality_code,apache,1,Closed
carbondata,3131,comment,465625917,non_debt,-,apache,7,Closed
incubator-dolphinscheduler,528,summary,0,non_debt,-,apache,0,Merged
beam,123,review,58893436,non_debt,-,apache,17,Closed
shardingsphere,4215,summary,0,non_debt,-,apache,0,Merged
dubbo,2282,description,0,non_debt,-,apache,1,Closed
airflow,2756,comment,343599537,non_debt,-,apache,54,Closed
beam,406,comment,224704830,non_debt,-,apache,9,Closed
lucene-solr,357,review,376935901,non_debt,-,apache,676,Merged
apisix,957,summary,0,non_debt,-,apache,0,Merged
spark,19813,review,156552741,non_debt,-,apache,18,Closed
spark,25785,comment,531497209,design_debt,non-optimal_design,apache,3,Closed
airflow,2011,comment,274330617,non_debt,-,apache,10,Closed
drill,1593,description,0,non_debt,-,apache,4,Closed
trafficserver,3044,comment,365999726,non_debt,-,apache,41,Merged
airflow,1562,comment,223208225,non_debt,-,apache,119,Closed
kafka,7994,review,373361209,code_debt,low_quality_code,apache,10,Merged
ozone,2130,description,0,non_debt,-,apache,0,Merged
apisix,3694,description,0,non_debt,-,apache,1,Merged
hadoop,1884,summary,0,non_debt,-,apache,73,Closed
hudi,1574,comment,633337641,non_debt,-,apache,14,Merged
gobblin,199,comment,118981706,non_debt,-,apache,0,Merged
flink,5593,comment,392814940,non_debt,-,apache,91,Closed
airflow,67,summary,0,non_debt,-,apache,0,Merged
hudi,1253,review,384914757,non_debt,-,apache,116,Closed
nifi,2940,comment,411414481,non_debt,-,apache,0,Closed
incubator-pinot,4777,review,344013968,code_debt,low_quality_code,apache,12,Merged
karaf,961,description,0,non_debt,-,apache,0,Merged
systemds,349,comment,274585312,non_debt,-,apache,5,Closed
carbondata,2396,comment,399415726,non_debt,-,apache,4,Closed
carbondata,1653,comment,351470763,non_debt,-,apache,2,Closed
kafka,937,comment,186170645,non_debt,-,apache,3,Closed
trafficserver,1033,comment,248191505,non_debt,-,apache,4,Merged
kafka,2950,comment,317639576,non_debt,-,apache,326,Closed
incubator-doris,1439,description,0,non_debt,-,apache,0,Merged
spark,27395,comment,588347501,non_debt,-,apache,20,Closed
ozone,1503,review,506851310,code_debt,low_quality_code,apache,14,Merged
iceberg,1890,review,538631234,non_debt,-,apache,0,Merged
attic-apex-core,33,description,0,non_debt,-,apache,0,Closed
nifi-minifi-cpp,367,comment,402224300,non_debt,-,apache,4,Closed
trafficcontrol,3075,comment,443905502,non_debt,-,apache,179,Merged
kafka,6185,review,249982093,non_debt,-,apache,1,Merged
flink,3336,comment,282036668,non_debt,-,apache,6,Closed
