project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
incubator-doris,2050,comment,555584339,non_debt,-,apache,27,Merged
pulsar,2100,comment,402925739,non_debt,-,apache,1,Merged
trafficcontrol,365,comment,286793219,non_debt,-,apache,0,Closed
flink,4426,description,0,code_debt,dead_code,apache,2,Closed
beam,11610,review,425548953,non_debt,-,apache,27,Merged
spark,25119,review,304750383,non_debt,-,apache,6,Closed
nutch,184,comment,302673149,non_debt,-,apache,33,Merged
beam,7956,comment,479834196,non_debt,-,apache,38,Merged
beam,11203,review,399469457,non_debt,-,apache,7,Merged
spark,25628,review,319461063,requirement_debt,requirement_partially_implemented,apache,17,Closed
spark,18974,description,0,non_debt,-,apache,4,Closed
brooklyn-server,835,review,142912453,code_debt,low_quality_code,apache,15,Merged
ambari,1151,description,0,non_debt,-,apache,1,Merged
spark,448,review,11813558,code_debt,low_quality_code,apache,18,Closed
spark,3659,comment,66415145,non_debt,-,apache,0,Closed
nifi,3850,description,0,non_debt,-,apache,515,Closed
airflow,1956,comment,268910016,non_debt,-,apache,0,Closed
tinkerpop,98,summary,0,non_debt,-,apache,0,Merged
incubator-mxnet,13503,comment,443465456,non_debt,-,apache,2,Merged
incubator-mxnet,5886,review,112565730,non_debt,-,apache,6,Merged
incubator-pinot,5200,review,408486325,non_debt,-,apache,14,Merged
tvm,6449,comment,692921717,non_debt,-,apache,6,Merged
storm,1958,comment,282003202,non_debt,-,apache,2,Merged
spark,21882,review,205935245,non_debt,-,apache,3,Closed
flink,13033,comment,721025672,non_debt,-,apache,109,Closed
apisix,3224,review,559854280,non_debt,-,apache,11,Merged
flink,6178,review,196555570,code_debt,low_quality_code,apache,3,Closed
kafka,6977,review,298727205,code_debt,dead_code,apache,29,Merged
ambari,183,review,163852609,non_debt,-,apache,25,Merged
pulsar,7786,comment,674414727,non_debt,-,apache,8,Merged
tvm,4179,review,337872859,non_debt,-,apache,19,Merged
tvm,7153,review,581353108,non_debt,-,apache,85,Merged
flink,4851,review,145917513,code_debt,low_quality_code,apache,5,Closed
cloudstack,29,summary,0,non_debt,-,apache,18,Closed
nifi,1849,summary,0,non_debt,-,apache,0,Closed
airflow,5585,review,303217602,non_debt,-,apache,16,Merged
incubator-mxnet,2380,comment,225808811,non_debt,-,apache,5,Merged
spark,10162,comment,162268697,non_debt,-,apache,544,Closed
zeppelin,954,comment,223481561,non_debt,-,apache,4,Closed
beam,2974,comment,300015697,non_debt,-,apache,0,Closed
storm,1101,comment,183528417,non_debt,-,apache,5,Merged
beam,8162,comment,477866946,non_debt,-,apache,0,Merged
beam,12065,comment,650215296,non_debt,-,apache,34,Merged
kafka,1627,comment,235345722,non_debt,-,apache,32,Closed
spark,16706,review,98121245,code_debt,low_quality_code,apache,1,Closed
arrow,9610,review,588816147,non_debt,-,apache,4,Closed
flink,9766,review,329334111,non_debt,-,apache,4,Closed
tvm,7021,comment,797529527,code_debt,slow_algorithm,apache,412,Closed
trafficcontrol,5570,comment,785250722,non_debt,-,apache,0,Merged
geode,3840,review,307057404,non_debt,-,apache,5,Merged
spark,3269,review,20599886,non_debt,-,apache,16,Closed
spark,29001,comment,653952590,non_debt,-,apache,0,Closed
airflow,5343,review,288918215,code_debt,low_quality_code,apache,0,Closed
reef,536,review,41340326,non_debt,-,apache,6,Closed
helix,159,review,177534964,non_debt,-,apache,11,Merged
ozone,597,review,383576726,non_debt,-,apache,1,Closed
tvm,7078,description,0,non_debt,-,apache,16,Merged
